PubMed.ID	ArrayExpress.Accession	Title	Abstract	Journal	JournalAbbr	Year
25043028	E-GEOD-51008	Selective transcriptional regulation by Myc in cellular growth control and lymphomagenesis.	The c-myc proto-oncogene product, Myc, is a transcription factor that binds thousands of genomic loci. Recent work suggested that rather than up- and downregulating selected groups of genes, Myc targets all active promoters and enhancers in the genome (a phenomenon termed 'invasion') and acts as a general amplifier of transcription. However, the available data did not readily discriminate between direct and indirect effects of Myc on RNA biogenesis. We addressed this issue with genome-wide chromatin immunoprecipitation and RNA expression profiles during B-cell lymphomagenesis in mice, in cultured B cells and fibroblasts. Consistent with long-standing observations, we detected general increases in total RNA or messenger RNA copies per cell (hereby termed 'amplification') when comparing actively proliferating cells with control quiescent cells: this was true whether cells were stimulated by mitogens (requiring endogenous Myc for a proliferative response) or by deregulated, oncogenic Myc activity. RNA amplification and promoter/enhancer invasion by Myc were separable phenomena that could occur without one another. Moreover, whether or not associated with RNA amplification, Myc drove the differential expression of distinct subsets of target genes. Hence, although having the potential to interact with all active or poised regulatory elements in the genome, Myc does not directly act as a global transcriptional amplifier. Instead, our results indicate that Myc activates and represses transcription of discrete gene sets, leading to changes in cellular state that can in turn feed back on global RNA production and turnover.	Nature	Nature	2014
25061210	E-GEOD-56127	RNA function. Ribosome stalling induced by mutation of a CNS-specific tRNA causes neurodegeneration.	In higher eukaryotes, transfer RNAs (tRNAs) with the same anticodon are encoded by multiple nuclear genes, and little is known about how mutations in these genes affect translation and cellular homeostasis. Similarly, the surveillance systems that respond to such defects in higher eukaryotes are not clear. Here, we discover that loss of GTPBP2, a novel binding partner of the ribosome recycling protein Pelota, in mice with a mutation in a tRNA gene that is specifically expressed in the central nervous system causes ribosome stalling and widespread neurodegeneration. Our results not only define GTPBP2 as a ribosome rescue factor but also unmask the disease potential of mutations in nuclear-encoded tRNA genes.	Science (New York, N.Y.)	Science	2014
25079327	E-GEOD-57147	DNA-damage-induced differentiation of leukaemic cells as an anti-cancer barrier.	Self-renewal is the hallmark feature both of normal stem cells and cancer stem cells. Since the regenerative capacity of normal haematopoietic stem cells is limited by the accumulation of reactive oxygen species and DNA double-strand breaks, we speculated that DNA damage might also constrain leukaemic self-renewal and malignant haematopoiesis. Here we show that the histone methyl-transferase MLL4, a suppressor of B-cell lymphoma, is required for stem-cell activity and an aggressive form of acute myeloid leukaemia harbouring the MLL-AF9 oncogene. Deletion of MLL4 enhances myelopoiesis and myeloid differentiation of leukaemic blasts, which protects mice from death related to acute myeloid leukaemia. MLL4 exerts its function by regulating transcriptional programs associated with the antioxidant response. Addition of reactive oxygen species scavengers or ectopic expression of FOXO3 protects MLL4(-/-) MLL-AF9 cells from DNA damage and inhibits myeloid maturation. Similar to MLL4 deficiency, loss of ATM or BRCA1 sensitizes transformed cells to differentiation, suggesting that myeloid differentiation is promoted by loss of genome integrity. Indeed, we show that restriction-enzyme-induced double-strand breaks are sufficient to induce differentiation of MLL-AF9 blasts, which requires cyclin-dependent kinase inhibitor p21(Cip1) (Cdkn1a) activity. In summary, we have uncovered an unexpected tumour-promoting role of genome guardians in enforcing the oncogene-induced differentiation blockade in acute myeloid leukaemia.	Nature	Nature	2014
25101683	E-GEOD-58996	Dysfunction of the CNS-heart axis in mouse models of Huntington's disease.	Cardiac remodelling and contractile dysfunction occur during both acute and chronic disease processes including the accumulation of insoluble aggregates of misfolded amyloid proteins that are typical features of Alzheimer's, Parkinson's and Huntington's disease (HD). While HD has been described mainly as a neurological disease, multiple epidemiological studies have shown that HD patients exhibit a high incidence of cardiovascular events leading to heart failure, and that this is the second highest cause of death. Given that huntingtin is ubiquitously expressed, cardiomyocytes may be at risk of an HD-related dysfunction. In mice, the forced expression of an expanded polyQ repeat under the control of a cardiac specific promoter led to severe heart failure followed by reduced lifespan. However the mechanism leading to cardiac dysfunction in the clinical and pre-clinical HD settings remains unknown. To unravel this mechanism, we employed the R6/2 transgenic and HdhQ150 knock-in mouse models of HD. We found that pre-symptomatic animals developed connexin-43 relocation and a significant deregulation of hypertrophic markers and Bdnf transcripts. In the symptomatic animals, pronounced functional changes were visualised by cardiac MRI revealing a contractile dysfunction, which might be a part of dilatated cardiomyopathy (DCM). This was accompanied by the re-expression of foetal genes, apoptotic cardiomyocyte loss and a moderate degree of interstitial fibrosis. To our surprise, we could identify neither mutant HTT aggregates in cardiac tissue nor a HD-specific transcriptional dysregulation, even at the end stage of disease. We postulate that the HD-related cardiomyopathy is caused by altered central autonomic pathways although the pathogenic effects of mutant HTT acting intrinsically in the heart may also be a contributing factor.	PLoS genetics	PLoS Genet.	2014
25124037	E-GEOD-57837	Control of Toll-like receptor-mediated T cell-independent type 1 antibody responses by the inducible nuclear protein IκB-ζ.	Antibody responses have been classified as being either T cell-dependent or T cell-independent (TI). TI antibody responses are further classified as being either type 1 (TI-1) or type 2 (TI-2), depending on their requirement for B cell-mediated antigen receptor signaling. Although the mechanistic basis of antibody responses has been studied extensively, it remains unclear whether different antibody responses share similarities in their transcriptional regulation. Here, we show that mice deficient in IκB-ζ, specifically in their B cells, have impaired TI-1 antibody responses but normal T cell-dependent and TI-2 antibody responses. The absence of IκB-ζ in B cells also impaired proliferation triggered by Toll-like receptor (TLR) activation, plasma cell differentiation, and class switch recombination (CSR). Mechanistically, IκB-ζ-deficient B cells could not induce TLR-mediated induction of activation-induced cytidine deaminase (AID), a class-switch DNA recombinase. Retroviral transduction of AID in IκB-ζ-deficient B cells restored CSR activity. Furthermore, acetylation of histone H3 in the vicinity of the transcription start site of the gene that encodes AID was reduced in IκB-ζ-deficient B cells relative to IκB-ζ-expressing B cells. These results indicate that IκB-ζ regulates TLR-mediated CSR by inducing AID. Moreover, IκB-ζ defines differences in the transcriptional regulation of different antibody responses.	The Journal of biological chemistry	J. Biol. Chem.	2014
25126783	E-GEOD-58905	Control of the inheritance of regulatory T cell identity by a cis element in the Foxp3 locus.	In multicellular organisms, specialized functions are delegated to distinct cell types whose identity and functional integrity are maintained upon challenge. However, little is known about the mechanisms enabling lineage inheritance and their biological implications. Regulatory T (Treg) cells, which express the transcription factor Foxp3, suppress fatal autoimmunity throughout the lifespan of animals. Here, we show that a dedicated Foxp3 intronic element CNS2 maintains Treg cell lineage identity by acting as a sensor of the essential Treg cell growth factor IL-2 and its downstream target STAT5. CNS2 sustains Foxp3 expression during division of mature Treg cells when IL-2 is limiting and counteracts proinflammatory cytokine signaling that leads to the loss of Foxp3. CNS2-mediated stable inheritance of Foxp3 expression is critical for adequate suppression of diverse types of chronic inflammation by Treg cells and prevents their differentiation into inflammatory effector cells. The described mechanism may represent a general principle of the inheritance of differentiated cell states.	Cell	Cell	2014
25136103	E-GEOD-47395	Genetic and pharmacological reactivation of the mammalian inactive X chromosome.	X-chromosome inactivation (XCI), the random transcriptional silencing of one X chromosome in somatic cells of female mammals, is a mechanism that ensures equal expression of X-linked genes in both sexes. XCI is initiated in cis by the noncoding Xist RNA, which coats the inactive X chromosome (Xi) from which it is produced. However, trans-acting factors that mediate XCI remain largely unknown. Here, we perform a large-scale RNA interference screen to identify trans-acting XCI factors (XCIFs) that comprise regulators of cell signaling and transcription, including the DNA methyltransferase, DNMT1. The expression pattern of the XCIFs explains the selective onset of XCI following differentiation. The XCIFs function, at least in part, by promoting expression and/or localization of Xist to the Xi. Surprisingly, we find that DNMT1, which is generally a transcriptional repressor, is an activator of Xist transcription. Small-molecule inhibitors of two of the XCIFs can reversibly reactivate the Xi, which has implications for treatment of Rett syndrome and other dominant X-linked diseases. A homozygous mouse knockout of one of the XCIFs, stanniocalcin 1 (STC1), has an expected XCI defect but surprisingly is phenotypically normal. Remarkably, X-linked genes are not overexpressed in female Stc1(-/-) mice, revealing the existence of a mechanism(s) that can compensate for a persistent XCI deficiency to regulate X-linked gene expression.	Proceedings of the National Academy of Sciences of the United States of America	Proc. Natl. Acad. Sci. U.S.A.	2014
25146988	E-GEOD-57959	Molecular mechanism of formation of cortical opacity in CRYAAN101D transgenic mice.	PURPOSE: The CRYAAN101D transgenic mouse model expressing deamidated αA-crystallin (deamidation at N101 position to D) develops cortical cataract at the age of 7 to 9 months. The present study was carried out to explore the molecular mechanism that leads to the development of cortical opacity in CRYAAN101D lenses.METHODS: RNA sequence analysis was carried out on 2- and 4-month-old αA-N101D and wild type (WT) lenses. To understand the biologic relevance and function of significantly altered genes, Ingenuity Pathway Analysis (IPA) was done. To elucidate terminal differentiation defects, immunohistochemical, and Western blot analyses were carried out.RESULTS: RNA sequence and IPA data suggested that the genes belonging to gene expression, cellular assembly and organization, and cell cycle and apoptosis networks were altered in N101D lenses. In addition, the tight junction signaling and Rho A signaling were among the top three canonical pathways that were affected in N101D mutant. Immunohistochemical analysis identified a series of terminal differentiation defects in N101D lenses, specifically, increased proliferation and decreased differentiation of lens epithelial cells (LEC) and decreased denucleation of lens fiber cells (LFC). The expression of Rho A was reduced in different-aged N101D lenses, and, conversely, Cdc42 and Rac1 expressions were increased in the N101D mutants. Moreover, earlier in development, the expression of major membrane-bound molecular transporter Na,K-ATPase was drastically reduced in N101D lenses.CONCLUSIONS: The results suggest that the terminal differentiation defects, specifically, increased proliferation and decreased denucleation are responsible for the development of lens opacity in N101D lenses.	Investigative ophthalmology &amp; visual science	Invest. Ophthalmol. Vis. Sci.	2014
25172496	E-GEOD-59215	GATA-3 dose-dependent checkpoints in early T cell commitment.	GATA-3 expression is crucial for T cell development and peaks during commitment to the T cell lineage, midway through the CD4(-)CD8(-) (double-negative [DN]) stages 1-3. We used RNA interference and conditional deletion to reduce GATA-3 protein acutely at specific points during T cell differentiation in vitro. Even moderate GATA-3 reduction killed DN1 cells, delayed progression to the DN2 stage, skewed DN2 gene regulation, and blocked appearance of the DN3 phenotype. Although a Bcl-2 transgene rescued DN1 survival and improved DN2 cell generation, it did not restore DN3 differentiation. Gene expression analyses (quantitative PCR, RNA sequencing) showed that GATA-3-deficient DN2 cells quickly upregulated genes, including Spi1 (PU.1) and Bcl11a, and downregulated genes, including Cpa3, Ets1, Zfpm1, Bcl11b, Il9r, and Il17rb with gene-specific kinetics and dose dependencies. These targets could mediate two distinct roles played by GATA-3 in lineage commitment, as revealed by removing wild-type or GATA-3-deficient early T lineage cells from environmental Notch signals. GATA-3 worked as a potent repressor of B cell potential even at low expression levels, so that only full deletion of GATA-3 enabled pro-T cells to reveal B cell potential. The ability of GATA-3 to block B cell development did not require T lineage commitment factor Bcl11b. In prethymic multipotent precursors, however, titration of GATA-3 activity using tamoxifen-inducible GATA-3 showed that GATA-3 inhibits B and myeloid developmental alternatives at different threshold doses. Furthermore, differential impacts of a GATA-3 obligate repressor construct imply that B and myeloid development are inhibited through distinct transcriptional mechanisms. Thus, the pattern of GATA-3 expression sequentially produces B lineage exclusion, T lineage progression, and myeloid-lineage exclusion for commitment.	Journal of immunology (Baltimore, Md. : 1950)	J. Immunol.	2014
25180063	E-GEOD-58971	Germinal center B cell maintenance and differentiation are controlled by distinct NF-κB transcription factor subunits.	Germinal centers (GCs) are the sites where memory B cells and plasma cells producing high-affinity antibodies are generated during T cell-dependent immune responses. The molecular control of GC B cell maintenance and differentiation remains incompletely understood. Activation of the NF-κB signaling pathway has been implicated; however, the distinct roles of the individual NF-κB transcription factor subunits are unknown. We report that GC B cell-specific deletion of the NF-κB subunits c-REL or RELA, which are both activated by the canonical NF-κB pathway, abolished the generation of high-affinity B cells via different mechanisms acting at distinct stages during the GC reaction. c-REL deficiency led to the collapse of established GCs immediately after the formation of dark and light zones at day 7 of the GC reaction and was associated with the failure to activate a metabolic program that promotes cell growth. Conversely, RELA was dispensable for GC maintenance but essential for the development of GC-derived plasma cells due to impaired up-regulation of BLIMP1. These results indicate that activation of the canonical NF-κB pathway in GC B cells controls GC maintenance and differentiation through distinct transcription factor subunits. Our findings have implications for the role of NF-κB in GC lymphomagenesis.	The Journal of experimental medicine	J. Exp. Med.	2014
25180063	E-GEOD-58972	Germinal center B cell maintenance and differentiation are controlled by distinct NF-κB transcription factor subunits.	Germinal centers (GCs) are the sites where memory B cells and plasma cells producing high-affinity antibodies are generated during T cell-dependent immune responses. The molecular control of GC B cell maintenance and differentiation remains incompletely understood. Activation of the NF-κB signaling pathway has been implicated; however, the distinct roles of the individual NF-κB transcription factor subunits are unknown. We report that GC B cell-specific deletion of the NF-κB subunits c-REL or RELA, which are both activated by the canonical NF-κB pathway, abolished the generation of high-affinity B cells via different mechanisms acting at distinct stages during the GC reaction. c-REL deficiency led to the collapse of established GCs immediately after the formation of dark and light zones at day 7 of the GC reaction and was associated with the failure to activate a metabolic program that promotes cell growth. Conversely, RELA was dispensable for GC maintenance but essential for the development of GC-derived plasma cells due to impaired up-regulation of BLIMP1. These results indicate that activation of the canonical NF-κB pathway in GC B cells controls GC maintenance and differentiation through distinct transcription factor subunits. Our findings have implications for the role of NF-κB in GC lymphomagenesis.	The Journal of experimental medicine	J. Exp. Med.	2014
25180063	E-GEOD-58973	Germinal center B cell maintenance and differentiation are controlled by distinct NF-κB transcription factor subunits.	Germinal centers (GCs) are the sites where memory B cells and plasma cells producing high-affinity antibodies are generated during T cell-dependent immune responses. The molecular control of GC B cell maintenance and differentiation remains incompletely understood. Activation of the NF-κB signaling pathway has been implicated; however, the distinct roles of the individual NF-κB transcription factor subunits are unknown. We report that GC B cell-specific deletion of the NF-κB subunits c-REL or RELA, which are both activated by the canonical NF-κB pathway, abolished the generation of high-affinity B cells via different mechanisms acting at distinct stages during the GC reaction. c-REL deficiency led to the collapse of established GCs immediately after the formation of dark and light zones at day 7 of the GC reaction and was associated with the failure to activate a metabolic program that promotes cell growth. Conversely, RELA was dispensable for GC maintenance but essential for the development of GC-derived plasma cells due to impaired up-regulation of BLIMP1. These results indicate that activation of the canonical NF-κB pathway in GC B cells controls GC maintenance and differentiation through distinct transcription factor subunits. Our findings have implications for the role of NF-κB in GC lymphomagenesis.	The Journal of experimental medicine	J. Exp. Med.	2014
25269644	E-GEOD-60968	Gcn5 and PCAF negatively regulate interferon-β production through HAT-independent inhibition of TBK1.	Viral infection triggers innate immune signaling, which in turn induces interferon-β (IFN-β) production to establish innate antiviral immunity. Previous studies showed that Gcn5 (Kat2a), a histone acetyltransferase (HAT) with partial functional redundancy with PCAF (Kat2b), and Gcn5/PCAF-mediated histone H3K9 acetylation (H3K9ac) are enriched on the active IFNB gene promoter. However, whether Gcn5/PCAF and H3K9ac regulate IFN-β production is unknown. Here, we show that Gcn5/PCAF-mediated H3K9ac correlates well with, but is surprisingly dispensable for, the expression of endogenous IFNB and the vast majority of active genes in fibroblasts. Instead, Gcn5/PCAF repress IFN-β production and innate antiviral immunity in several cell types in a HAT-independent and non-transcriptional manner: by inhibiting the innate immune signaling kinase TBK1 in the cytoplasm. Our results thus identify Gcn5 and PCAF as negative regulators of IFN-β production and innate immune signaling.	EMBO reports	EMBO Rep.	2014
25457166	E-GEOD-61216	PRMT5 protects genomic integrity during global DNA demethylation in primordial germ cells and preimplantation embryos.	Primordial germ cells (PGCs) and preimplantation embryos undergo epigenetic reprogramming, which includes comprehensive DNA demethylation. We found that PRMT5, an arginine methyltransferase, translocates from the cytoplasm to the nucleus during this process. Here we show that conditional loss of PRMT5 in early PGCs causes complete male and female sterility, preceded by the upregulation of LINE1 and IAP transposons as well as activation of a DNA damage response. Similarly, loss of maternal-zygotic PRMT5 also leads to IAP upregulation. PRMT5 is necessary for the repressive H2A/H4R3me2s chromatin modification on LINE1 and IAP transposons in PGCs, directly implicating this modification in transposon silencing during DNA hypomethylation. PRMT5 translocates back to the cytoplasm subsequently, to participate in the previously described PIWI-interacting RNA (piRNA) pathway that promotes transposon silencing via de novo DNA remethylation. Thus, PRMT5 is directly involved in genome defense during preimplantation development and in PGCs at the time of global DNA demethylation.	Molecular cell	Mol. Cell	2014
